,Inventory,Type,Date,Due Date,Num,Name,Qty,Invoiced,Backordered,Amount,Open Balance,Month,Year
2884,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,07/09/2019,08/08/2019,A32002,US IMPORT,6.0,0.0,6.0,33.0,33.0,7,2019
2885,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,07/10/2019,09/08/2019,A32004,P&J TRADING (MD),6.0,0.0,6.0,33.0,33.0,7,2019
2886,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,07/17/2019,08/16/2019,A32039,US IMPORT,6.0,0.0,6.0,33.0,33.0,7,2019
2887,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,07/19/2019,09/17/2019,A32049,P&J TRADING (MD),6.0,0.0,6.0,33.0,33.0,7,2019
2888,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,07/31/2019,09/29/2019,A32102,P&J TRADING (MD),6.0,0.0,6.0,33.0,33.0,7,2019
2889,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,08/01/2019,08/31/2019,A32110,BEN'S (TX) BEAUTY SUPPLY DISTRIBUTOR INC.,24.0,0.0,24.0,132.0,132.0,8,2019
2890,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,08/09/2019,10/08/2019,A32145,P&J TRADING (MD),6.0,0.0,6.0,33.0,33.0,8,2019
2891,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,08/23/2019,10/22/2019,A32211,P&J TRADING (MD),6.0,0.0,6.0,33.0,33.0,8,2019
2892,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,10/18/2019,11/17/2019,A32507,KINGS BEAUTY SUPPLY (MAULDIN SC),1.0,0.0,1.0,7.5,7.5,10,2019
2893,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,01/21/2020,01/21/2020,A32966,AMY NATURAL HAIR CARE & BRAIDING,1.0,0.0,1.0,7.5,7.5,1,2020
2894,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,02/18/2020,04/18/2020,A33114,CY LADY (GA),1.0,0.0,1.0,5.5,5.5,2,2020
2895,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,03/11/2020,04/10/2020,A33236,EVERGREEN BEAUTY,2.0,0.0,2.0,15.0,15.0,3,2020
2896,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,06/10/2020,07/10/2020,A33775,EVERGREEN BEAUTY,1.0,0.0,1.0,7.5,7.5,6,2020
2897,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,06/12/2020,06/12/2020,A33798,CASA CESAR N.V.,2.0,0.0,2.0,11.0,11.0,6,2020
2898,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,06/12/2020,06/12/2020,A33802,CASA CESAR N.V.,2.0,0.0,2.0,11.0,11.0,6,2020
2899,K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),Sales Order,06/17/2020,07/17/2020,A33837,US IMPORT,6.0,0.0,6.0,33.0,33.0,6,2020
2900,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,06/11/2018,07/11/2018,A29913,"UNION SALES, INC.",24.0,12.0,12.0,132.0,66.0,6,2018
2901,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,06/19/2018,07/19/2018,A29955,US IMPORT,6.0,0.0,6.0,33.0,33.0,6,2018
2902,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,08/17/2018,09/16/2018,A30235,7 DOLLAR BEAUTY SUPPLY,24.0,0.0,24.0,132.0,132.0,8,2018
2903,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,08/20/2018,10/19/2018,A30244,"WURI, INC.",6.0,5.0,1.0,33.0,5.5,8,2018
2904,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,08/27/2018,09/26/2018,A30280,ESSENCE BEAUTY MART,1.0,0.0,1.0,7.5,7.5,8,2018
2905,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,09/04/2018,10/04/2018,A30300,PRIME CK,3.0,0.0,3.0,16.5,16.5,9,2018
2906,K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),Sales Order,09/05/2018,11/04/2018,A30311,P&J TRADING (MD),6.0,0.0,6.0,33.0,33.0,9,2018
