Inventory,Qty,Amount,% of Sales,Avg Price,COGS,Avg COGS,Gross Margin,Gross Margin %
"W1278 (WEAVING THREAD 150Y, NYLON : BK(DZ/24DZ))",5.00,56.50,0.0%,11.30,16.00,3.20,40.50,71.68%
"W1279 (WEAVING THREAD 400Y, NYLON : BK (DZ/12DZ))",7.00,123.00,0.0%,17.57,61.60,8.80,61.40,49.92%
"W1280 (WEAVING THREAD 1000Y, NYLON : BK (PC/9DZ))",1.00,6.00,0.0%,6.00,0.00,0.00,6.00,100.0%
"W1281 (WIG CLIP BLISTER (24PC) : SM, BLK (PK/144PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1282 (WIG CLIP BLISTER (24PC) : MD, BLK (PK/144PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1283 (WIG CLIP BLISTER (24PC) : LG, BLK (PK/144PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1284 (WIG CLIP BLISTER (24PC) : SM, BRW (PK/144PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1285 (WIG CLIP BLISTER (24PC) : MD, BRW (PK/144PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1286 (WIG CLIP BLISTER (24PC) : LG, BRW (PK/144PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1287 (WIG CLIP BLISTER (24PC) : SM, BLD (PK/144PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1288 (WIG CLIP BLISTER (24PC) : MD, BLD (PK/144PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1289 (WIG CLIP BLISTER (24PC) : LG, BLD (PK/144PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1291 (WIG CLIP BLISTER (60PC) : SM, BLK (PK/72PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1292 (WIG CLIP BLISTER (60PC) : MD, BLK (PK/72PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1293 (WIG CLIP BLISTER (60PC) : LG, BLK (PK/72PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1294 (WIG CLIP BLISTER (60PC) : SM, BRW (PK/72PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1295 (WIG CLIP BLISTER (60PC) : MD, BRW (PK/72PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1296 (WIG CLIP BLISTER (60PC) : LG, BRW (PK/72PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1297 (WIG CLIP BLISTER (60PC) : SM, BLD (PK/72PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1298 (WIG CLIP BLISTER (60PC) : MD, BLD (PK/72PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"W1299 (WIG CLIP BLISTER (60PC) : LG, BLD (PK/72PK))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
W784 (SOFT TAG CLEAR ROUND : 1000 PCS (ROLL/20 ROLL)),40.00,700.00,0.0%,17.50,391.97,9.80,308.03,44.0%
W785 (SOFT TAG CLEAR RECTANGLE 19X65 (ROLL/20 ROLL)),20.00,450.00,0.0%,22.50,0.00,0.00,450.00,100.0%
W789 (HARD TAG LANYARD (110MM 100PC) (PACK/10 PACKS)),5.00,240.00,0.0%,48.00,0.00,0.00,240.00,100.0%
W790 (HARD TAG (48X42 100PC) : BLACK (PACK/10 PACKS)),20.00,280.00,0.0%,14.00,0.00,0.00,280.00,100.0%
W792 (PIN : 19MM (1000 PCS) (PACK/10 PACK)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
W793 (PIN : 27MM (1000 PCS) (PACK/10 PACK)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
W794 (PIN : 40MM (1000 PCS) (PACK/10 PACK)),10.00,400.00,0.0%,40.00,0.00,0.00,400.00,100.0%
