Inventory,Qty,Amount,% of Sales,Avg Price,COGS,Avg COGS,Gross Margin,Gross Margin %
K2006 (VELVET DURAG : SKY (DZ / 24DZ)),17.00,397.50,0.0%,23.38,178.50,10.50,219.00,55.09%
K2007 (VELVET DURAG : SLV (DZ / 24DZ)),12.00,292.50,0.0%,24.38,126.00,10.50,166.50,56.92%
K2008 (VELVET DURAG : YELLOW (DZ / 24DZ)),7.00,157.50,0.0%,22.50,73.50,10.50,84.00,53.33%
K2009 (VELVET DURAG : ORG (DZ / 24DZ)),8.00,180.00,0.0%,22.50,84.00,10.50,96.00,53.33%
K201 (SPANDEX VISOR DOME CAP : BLACK (DZ/24 DZ)),4.00,84.00,0.0%,21.00,32.80,8.20,51.20,60.95%
K2010 (VELVET DURAG : GRN (DZ / 24DZ)),7.00,165.00,0.0%,23.57,73.50,10.50,91.50,55.46%
K2011 (VELVET DURAG : PNK (DZ / 24DZ)),22.00,517.50,0.0%,23.52,231.00,10.50,286.50,55.36%
K2012 (VELVET DURAG : PURPLE (DZ / 24DZ)),22.00,517.50,0.0%,23.52,231.00,10.50,286.50,55.36%
K2013 (VELVET DURAG : GOLD (DZ / 24DZ)),12.00,277.50,0.0%,23.13,126.00,10.50,151.50,54.6%
K2014 (VELVET DOME CAP : ASST (DZ / 24DZ)),63.00,859.50,0.0%,13.64,403.20,6.40,456.30,53.09%
K2015 (VELVET DOME CAP : BK (DZ / 24DZ)),78.00,"1,057.50",0.0%,13.56,499.20,6.40,558.30,52.79%
K2016 (METALLIC DURAG : ASST. (DZ/24DZ)),15.00,294.00,0.0%,19.60,112.50,7.50,181.50,61.74%
K2017 (METALLIC DURAG : WHITE (DZ/24DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K2018 (METALLIC DURAG : ROYAL (DZ/24DZ)),25.00,456.00,0.0%,18.24,187.50,7.50,268.50,58.88%
K2019 (METALLIC DURAG : PURPLE (DZ/24DZ)),29.00,528.00,0.0%,18.21,217.50,7.50,310.50,58.81%
K202 (SPANDEX VISOR DOME CAP : WHITE (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K2020 (METALLIC DURAG : PINK (DZ/24DZ)),24.00,432.00,0.0%,18.00,180.00,7.50,252.00,58.33%
K2021 (METALLIC DURAG : SILVER (DZ/24DZ)),24.00,432.00,0.0%,18.00,180.00,7.50,252.00,58.33%
