Inventory,Qty,Amount,% of Sales,Avg Price,COGS,Avg COGS,Gross Margin,Gross Margin %
K083 (DREADLOCK WAVE CAP : ASSORT (DZ/40DZ)),286.00,"2,454.50",0.0%,8.58,962.56,3.37,"1,491.94",60.78%
K084 (DREADLOCK WAVE CAP : BLACK (DZ/40DZ)),735.00,"6,282.50",0.0%,8.55,"2,499.37",3.40,"3,783.13",60.22%
K085 (DREADLOCK WAVE CAP (JUMBO) : ASSORT (DZ/24DZ)),122.00,"1,367.00",0.0%,11.20,568.37,4.66,798.63,58.42%
K086 (DREADLOCK WAVE CAP (JUMBO) : BLACK (DZ/24DZ)),482.00,"5,342.00",0.0%,11.08,"2,245.03",4.66,"3,096.97",57.97%
K090 (PLAY MAKER DU-RAG : ASSORTED (DZ/48 DZ)),1.00,9.00,0.0%,9.00,0.00,0.00,9.00,100.0%
K091 (PLAY MAKER DU-RAG : BLACK (DZ/48 DZ)),2.00,18.00,0.0%,9.00,0.00,0.00,18.00,100.0%
K092 (PLAY MAKER DU-RAG : WHITE (DZ/48 DZ)),1.00,9.00,0.0%,9.00,0.00,0.00,9.00,100.0%
K096 (PLAY MAKER DU-RAG(TWO) : ASSORT (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K2000 (VELVET DURAG : ASST (DZ / 24DZ)),450.00,"10,140.00",0.0%,22.53,"4,725.00",10.50,"5,415.00",53.4%
K2001 (VELVET DURAG : BK (DZ / 24DZ)),550.00,"12,427.50",0.0%,22.60,"5,775.00",10.50,"6,652.50",53.53%
K2002 (VELVET DURAG : WHT (DZ / 24DZ)),33.00,765.00,0.0%,23.18,346.50,10.50,418.50,54.71%
K2003 (VELVET DURAG : RED (DZ / 24DZ)),81.00,"1,852.50",0.0%,22.87,850.50,10.50,"1,002.00",54.09%
K2004 (VELVET DURAG : NAVY (DZ / 24DZ)),45.00,"1,020.00",0.0%,22.67,472.50,10.50,547.50,53.68%
K2005 (VELVET DURAG : ROYAL (DZ / 24DZ)),72.00,"1,627.50",0.0%,22.60,756.00,10.50,871.50,53.55%
K2006 (VELVET DURAG : SKY (DZ / 24DZ)),40.00,922.50,0.0%,23.06,420.00,10.50,502.50,54.47%
K2007 (VELVET DURAG : SLV (DZ / 24DZ)),30.00,682.50,0.0%,22.75,315.00,10.50,367.50,53.85%
K2008 (VELVET DURAG : YELLOW (DZ / 24DZ)),27.00,615.00,0.0%,22.78,283.50,10.50,331.50,53.9%
K2009 (VELVET DURAG : ORG (DZ / 24DZ)),23.00,525.00,0.0%,22.83,241.50,10.50,283.50,54.0%
K201 (SPANDEX VISOR DOME CAP : BLACK (DZ/24 DZ)),8.00,144.00,0.0%,18.00,65.60,8.20,78.40,54.44%
K2010 (VELVET DURAG : GRN (DZ / 24DZ)),33.00,757.50,0.0%,22.95,346.50,10.50,411.00,54.26%
K2011 (VELVET DURAG : PNK (DZ / 24DZ)),47.00,"1,080.00",0.0%,22.98,493.50,10.50,586.50,54.31%
K2012 (VELVET DURAG : PURPLE (DZ / 24DZ)),50.00,"1,147.50",0.0%,22.95,525.00,10.50,622.50,54.25%
K2013 (VELVET DURAG : GOLD (DZ / 24DZ)),31.00,705.00,0.0%,22.74,325.50,10.50,379.50,53.83%
K2014 (VELVET DOME CAP : ASST (DZ / 24DZ)),70.00,963.00,0.0%,13.76,448.00,6.40,515.00,53.48%
K2015 (VELVET DOME CAP : BK (DZ / 24DZ)),129.00,"1,750.50",0.0%,13.57,825.60,6.40,924.90,52.84%
K2016 (METALLIC DURAG : ASST. (DZ/24DZ)),50.00,900.00,0.0%,18.00,375.00,7.50,525.00,58.33%
K2017 (METALLIC DURAG : WHITE (DZ/24DZ)),7.00,126.00,0.0%,18.00,52.50,7.50,73.50,58.33%
K2018 (METALLIC DURAG : ROYAL (DZ/24DZ)),6.00,108.00,0.0%,18.00,45.00,7.50,63.00,58.33%
K2019 (METALLIC DURAG : PURPLE (DZ/24DZ)),8.00,150.00,0.0%,18.75,60.00,7.50,90.00,60.0%
K202 (SPANDEX VISOR DOME CAP : WHITE (DZ/24 DZ)),1.00,36.00,0.0%,36.00,0.00,0.00,36.00,100.0%
K2020 (METALLIC DURAG : PINK (DZ/24DZ)),4.00,72.00,0.0%,18.00,30.00,7.50,42.00,58.33%
K2021 (METALLIC DURAG : SILVER (DZ/24DZ)),31.00,558.00,0.0%,18.00,232.50,7.50,325.50,58.33%
K2022 (METALLIC DURAG : GOLD (DZ/24DZ)),24.00,438.00,0.0%,18.25,180.00,7.50,258.00,58.9%
