MainCode,Description,Color,Size,Unit,OnHand,Price1,Bin#,MainCode2,Price2,Price3,Price4,Price5
W1122,CROCHET NEEDLE SIZE #7,N/A,#7,DZ,484,$4.50 ,L2,,$6.00 ,$9.00 ,$0.00 ,$0.00 
W1123,CROCHET NEEDLE SIZE #14,N/A,#14,DZ,707,$4.50 ,L2,,$6.00 ,$9.00 ,$0.00 ,$0.00 
W1124,CROCHET NEEDLE SIZE #16,N/A,#16,DZ,421,$4.50 ,L2,,$6.00 ,$9.00 ,$0.00 ,$0.00 
W1125,CROCHET NEEDLE #3 24PCS BULK,N/A,#3,PK,88,$6.50 ,L15,,$9.00 ,$12.00 ,$0.00 ,$0.00 
W1126,CROCHET NEEDLE #7 24PCS BULK,N/A,#7,PK,162,$6.50 ,L15,,$9.00 ,$12.00 ,$0.00 ,$0.00 
W1127,CROCHET NEEDLE #14 24PCS BULK,N/A,#14,PK,272,$6.50 ,L15,,$9.00 ,$12.00 ,$0.00 ,$0.00 
W1128,CROCHET NEEDLE #16 24PCS BULK,N/A,#16,PK,322,$6.50 ,L15,,$9.00 ,$12.00 ,$0.00 ,$0.00 
W1130,CROCHET NEEDLE SIZE #1,N/A,#1,DZ,169,$4.50 ,L2,,$6.00 ,$9.00 ,$0.00 ,$0.00 
W1131,E-Z LOCS TOOL : SLV,N/A,N/A,DZ,1071,$13.50 ,L1,,$18.00 ,$30.00 ,$0.00 ,$0.00 
W1135,DREADLOCKS CROCHET TOOL : 0.5MM,N/A,N/A,DZ,144,$8.50 ,L1,,$12.00 ,$18.00 ,$0.00 ,$0.00 
W1136,DREADLOCKS CROCHET TOOL : 1.0MM,N/A,N/A,DZ,264,$8.50 ,L1,,$12.00 ,$18.00 ,$0.00 ,$0.00 
W1137,"DREADLOCKS CROCHET TOOL : 0.75MM, TRIPLE",N/A,N/A,DZ,-1,$13.50 ,L1,,$18.00 ,$30.00 ,$0.00 ,$0.00 
W1138,DREADLOCKS CROCHET TOOL : 0.5MM DOUBLE,,,DZ,360,$11.00 ,,,$15.00 ,$24.00 ,,
W1139,"VENTILATING NEEDLE : SLV, 1-2, 45°",N/A,N/A,DZ,1234,$13.50 ,L1,,$18.00 ,$24.00 ,$0.00 ,$0.00 
W1140,"VENTILATING NEEDLE : GOLD, 3-4, 90°",N/A,N/A,DZ,1274,$13.50 ,L1,,$18.00 ,$24.00 ,$0.00 ,$0.00 
W1198,"WIG CLIP BLISTER (2PC) : JB, BROWN",BROWN,J,DZ,138,$4.50 ,G13,,$6.00 ,$9.00 ,$0.00 ,$0.00 
