,"Type","Date","Due Date","Num","Name","Qty","Invoiced","Backordered","Amount","Open Balance"
"Inventory",,,,,,,,,,
"E1083 (ADHESIVE-STRIP LASH/CLEAR (7G))",,,,,,,,,,
,"Sales Order","06/28/2018","07/28/2018","A30004","DASO TRADING INC.",12,0,12,48.00,48.00
,"Sales Order","06/28/2018","08/27/2018","A30008","YOUNG'S TRADING (GA)",12,0,12,48.00,48.00
,"Sales Order","06/29/2018","08/28/2018","A30011","MISSION TRADING",6,0,6,24.00,24.00
,"Sales Order","06/29/2018","08/28/2018","A30012","WURI, INC.",6,0,6,24.00,24.00
,"Sales Order","07/05/2018","09/03/2018","A30036","YOUNG'S TRADING (GA)",12,0,12,48.00,48.00
,"Sales Order","07/06/2018","09/04/2018","A30046","WURI, INC.",3,0,3,12.00,12.00
,"Sales Order","07/10/2018","08/09/2018","A30058","US IMPORT",6,0,6,24.00,24.00
,"Sales Order","07/11/2018","08/10/2018","A30061","A-1 TRADING, INC. (GA)",6,0,6,24.00,24.00
,"Sales Order","07/11/2018","09/09/2018","A30062","YOUNG'S TRADING (GA)",12,0,12,48.00,48.00
,"Sales Order","07/19/2018","08/18/2018","A30105","DASO TRADING INC.",48,0,48,192.00,192.00
,"Sales Order","08/03/2018","09/02/2018","A30139","US IMPORT",6,0,6,24.00,24.00
,"Sales Order","08/03/2018","09/02/2018","A30143","A-1 TRADING, INC. (GA)",6,0,6,24.00,24.00
,"Sales Order","08/06/2018","09/05/2018","A30145","TEN TEN US TRADING, CORP.",12,0,12,48.00,48.00
,"Sales Order","08/06/2018","09/05/2018","A30147","EMPRESS BEAUTY DISTRIBUTORS",12,0,12,48.00,48.00
,"Sales Order","08/06/2018","09/05/2018","A30150","7 DOLLAR BEAUTY SUPPLY",48,0,48,192.00,192.00
,"Sales Order","08/06/2018","09/05/2018","A30151","HAIR DEPOT PLUS(WARREN)",2,1,1,8.00,4.00
,"Sales Order","08/06/2018","09/05/2018","A30154","KINGS BEAUTY SUPPLY (MAULDIN SC)",2,0,2,11.00,11.00
,"Sales Order","08/06/2018","09/05/2018","A30158","KINGS BEAUTY SUPPLY (MAULDIN SC)",2,0,2,11.00,11.00
,"Sales Order","08/07/2018","08/07/2018","A30173","ESSENCE BEAUTY DEPOT",2,0,2,11.00,11.00
,"Sales Order","08/08/2018","09/07/2018","A30178","US IMPORT",6,0,6,24.00,24.00
,"Sales Order","08/10/2018","09/09/2018","A30191","TEN TEN US TRADING, CORP.",12,0,12,48.00,48.00
,"Sales Order","08/10/2018","10/09/2018","A30197","PK INTERNATIONAL, INC.",24,0,24,96.00,96.00
,"Sales Order","08/13/2018","09/12/2018","A30207","US IMPORT",6,0,6,24.00,24.00
,"Sales Order","08/15/2018","10/14/2018","A30214","YOUNG'S TRADING (GA)",6,0,6,24.00,24.00
,"Sales Order","08/15/2018","09/14/2018","A30217","A-1 TRADING, INC. (GA)",6,0,6,24.00,24.00
